nome_hotel,nota,titulo,texto,data
Hotel Colline de France,5,Amei,"Vivi um verdadeira conto de fadas. Tudo perfeito!  Hotel é excelente, desde a entrada até a saída. Todos os funcionários nos receberam com excelência. Fiquei deslumbrada com a equipe.  Hotel limpo, café da manhã maravilhoso, com ótimo cardápio.  Os mimos… cada dia era uma surpresa. Vcs são maravilhosos :)",dez. de 2021
Hotel Colline de France,5,5 porque não tem maior pontuação como opção.,"Absolutamente incrível. Não tenho dicionário suficiente para descrever. Cada detalhe minimamente pensado, Impecável em tudo. Decoração perfeita e rica em todos os aspectos. Mas o destaque é a equipe mais doce, simpática, amorosa e querida que já vi. Conhecemos pessoas tão maravilhosas, que a despedida foi como se deixássemos amigos pra trás. Sinônimo de competência, profissionalismo e carisma. Tudo funciona da forma mais harmônica pra que nada dê errado ou não seja resolvido instantaneamente. Se o hotel fosse tudo o que falam por aí, já seria magnífico, porém as expectativas foram altamente superadas. Impossível alguém não sair maravilhado desse lugar. Sem dúvida o melhor do hotel são as pessoas que trabalham lá! E olha que todo o resto é surreal!!! Espero voltar em breve. Linda",dez. de 2021
Hotel Colline de France,5,Colime de france,"Hotel impecável, atendimento excelente, todos muito cordiais , educados, gentis,etc. Qualidade nos produtos e serviços, especialmente o café da manhã, perfeito. Ambiente agradabilíssimo com decoração aconchegante e romântica.",dez. de 2021
Hotel Colline de France,5,Fantástico!,"Fantástico! O hotel é lindo, muito bem decorado, aconchegante, limpeza impecável, café da manhã maravilhoso! A cordialidade e educação de toda a equipe é indescritível, não há defeitos a apontar. Foi uma experiência deliciosa, com certeza voltaremos em breve! Superou todas as nossas expectativas, deixamos o hotel plenamente satisfeitos, foi sem dúvidas o melhor que já estive.",dez. de 2021
Hotel Colline de France,5,Impressionante. ,"Ficar hospedado no Colline e algo surreal, você viaja com tanto luxo, bom gosto e um cenario cinematográfico. Nos arrependemos de ficar poucos dias, pois além das belezas da região você precisa aproveitar mais o hotel. O atendimento também é espetacular. Já estamos planejando nosso retorno a esse hotel em junho de 2022. Obrigado a toda equipe Colline.  Salvou nosso ano!!!",dez. de 2021
Hotel Colline de France,5,Melhor hotel de todos,"Simplesmente o melhor hotel que já conheci. Ótima estrutura. Linda decoração, comida impecável. Todo e qualquer adjetivo e pouco para descrever o hotel. Maravilhoso. Equipe extremamente competente e atenciosa.",dez. de 2021
Hotel Colline de France,5,Maravilhoso!,"A começar pelo atendimento, equipe sempre muito cordial e atenciosa. Ótima limpeza! Café da manhã sensacional! Ambiente acolhedor e agradável. Estivemos no hotel pela segunda vez nesse ano e já reservamos a primeira estadia para 2022.",dez. de 2021
Hotel Colline de France,5,Melhor experiencia,"O melhor hotel que já fui. Melhor café da manhã, decoração de alto padrão, melhor atendimento, todos cordiais, educados e super atenciosos. Colline de France é o melhor em tudo. Com certeza voltarei. Super indico.",dez. de 2021
Hotel Colline de France,5,Lugar perfeito,"Lugar perfeito, o diferencial é a educação e atenção dos colaboradores. Certamente que são muito bem treinados e possuem uma etiqueta esplendida. Realmente lembra o Velho continente. Com certeza retornarei assim que possível para rever o local com a Piscina pronta",dez. de 2021
Hotel Colline de France,5,Hotel dos sonhos ..,"Hotel maravilhoso ..fiquei encantada ..tudo muito perfeito ..atendimento excelente……o hóspede se sente em casa,existe uma dedicação extrema com o cliente..o café da manhã divino,sem palavras,perfeito ….",dez. de 2021
