ranking,nome_hotel,nota,titulo,texto,data,ano
0,Hotel Colline de France,5,Hotel espetacular!,"Hotel maravilhoso, atendimento fantástico! Desde a recepção até a nossa saída, tivemos uma experiência excepcional! O quarto é muito luxuoso e aconchegante (além de ser muito limpo e cheiroso, claro). O café da manhã é fora de série, com uma ótima variedade de frutas, pães, frios e doces. O atendimento é extraordinário, todos são muito atenciosos e simpáticos! Voltarei com certeza!",Ontem,ntem
0,Hotel Colline de France,5,Você não sabia que precisava ter essa experiência até ter! ,"Conheci o Colline através de uma publicação no Instagram.   Sempre tive o sonho de ficar hospedada no Grand Floridian da Disney, mas depois que soube da existência do Colline, me apaixonei!  Mostrei para o meu noivo (agora marido) e desde então ficamos namorando por meses o hotel, acompanhando cada story deles nas redes sociais e decidimos fazer nossa viagem de lua de mel para gramado justamente para termos a oportunidade de nos hospedarmos no Colline de France - e que boa ideia tivemos!    Passamos nossa viagem parte hospedados no Colline e parte em outro hotel.   Todo nosso roteiro de viagem foi planejado para que pudéssemos aproveitar o máximo possível todo o tempo no Hotel -pois ele merece!    O hotel é tão lindo e aconchegante (desde o ambiente até o atendimento) que vale a</span><span class=""_""> pena você apenas tirar um momento do dia para simplesmente ficar lá, seja no lobby, ou em qualquer outra parte do hotel.    O que mais gostamos é que o hotel em si não é grande porém TUDO foi pensado com muito carinho e atenção, logo, torna o Colline um dos melhores hotéis do mundo porque há todo um cuidado nele, que fazem você querer ter a experiência de estar hospedado no hotel à cada tempinho livre que você tiver na sua agenda.    Confesso que quando chegamos no Hotel até estranhamos um pouco tamanha cortesia dos colaboradores, visto que eles sempre estão atentos e dispostos à fazerem com que você não precise nem abrir a porta de um carro, guardar sua taça ou carregar suas malas (e olha que viajamos apenas com bagagem de mão). Como não estamos acostumados com esse tipo de tratamento, estranhamos um pouco mas diria que ficaríamos bem mal acostumados com isso se fosse todo dia. Já pensou ter que lavar suas próprias louças em casa depois de se acostumar 100% com esse tratamento? Nem saberia como começar - brincadeiras à parte!    Fomos bem recepcionados e atendidos por todos com igual atenção e educação.     O Dionathan foi muito cortês ao explicar como funcionava a estádia no Colline logo quando chegamos, o Fabiano sempre atento durante nosso café da manhã e a Fabiana foi um amor ao nós ajudar com as fotos no espaço (Muito obrigada, Fabi!); fora todas as outras pessoas que nos atenderam que não conseguimos memorizar os nomes - muito obrigada!    Achamos super legal que mesmo se tratando de um hotel referência em gramado e “luxuoso” tanto a experiência que tivemos com os colaboradores quanto observando os outros hospedes, todos pareciam muito educados e sem aquele ar de “nariz empinado” ou arrogância que por vezes você pode imaginar encontrar num local assim.    Inclusive, estivemos hospedados em dias que o Amaury Jr estava por lá e o atendimento permaneceu organizado e cordial da mesma forma.    A localização do hotel requer que você alugue um carro ou vá de Uber para onde você precisa ir - inclusive, a sensação da chegada no hotel à primeira vista é de estar próximo à um castelo de princesa.    Acabamos chegando do aeroporto para o Colline antes do horário do checkin e conseguiram antecipar nosso checkin brevemente, no mesmo instante, estávamos sendo recepcionados com taças de espumante enquanto recebíamos as orientações de como funcionava à estadia, o que tornou a espera bem agradável.    O café da manhã é fenomenal!   Imagina um iogurte ser uma delícia?!   Geralmente iogurte é gostoso, mas o deles fazia você querer comer como sobremesa todos os dias de tão bom!     Não deixe de pedir o espumante moscatel deles - não sou a maior fã de bebida alcoólica do mundo, mas o espumante moscatel é divino!    E se você quer experimentar o melhor chocolate quente de gramado, então aproveite e peça por lá porque de fato, foi o melhor chocolate quente que experimentamos!    Os únicos pontos que poderiam ser melhorados, no nosso ponto de vista são dois:    - por ter acompanhado nas redes sociais os cafés da manhã com música instrumental ao vivo, achamos que fosse “regra da casa” e haveria essa experiência todos os dias para nós também; mas creio que durante dias de semana que foi quando estivemos hospedados não haja, porém não havia essa informação (nem de sim e nem de não em local nenhum).    - Acredito que o prato especial do café da manhã (que é surpresa e nunca está descrito no cardápio- o atendente que te fala qual é) poderia ser mais elaborado. Pois num dia foi calda de frutas vermelhas com sorvete de creme, e no outro pão frito com açúcar e canela (rabanada) - o que deu a impressão de que foram usados itens aleatórios que estava sobrando na geladeira.  Estes 2 pontos precisaram ser pensados para que pudéssemos buscar alguma melhoria no hotel de tamanho cuidado que ele entrega aos hóspedes.    Vimos o dono por lá mais de uma vez, e sempre muito gentil e sorridente também.    O macaron oferecido é uma delícia, o croissant perfeito e se você aceita uma dica: peça para colocarem o pillow top na sua cama e aproveite para ter uma noite de sono ainda melhor! Nós amamos!    Tudo é feito de forma à te encantar.    Já trabalhei com eventos e estive à trabalho para Disney, proporcionando Momentos Mágicos para os Guests (convidados)  e posso dizer que há muita experiência nível Disney por lá, por isso recomendo que você se planeje para desfrutar desse hotel como se fosse uma atração de Gramado e não somente um local para dormir, comer e tomar um banho após os passeios.    Esperamos em breve poder voltar, ainda mais depois que a piscina ficar pronta!    Por tudo, muito obrigada!  Anna e Michel Furlan!  Ps: amamos e eu fiquei EXTREMAMENTE encantada com o ursinho que ganhamos, fico boba até hoje ao lembrar dele nos esperando na cama- ele já tem até nome: François!",Ontem,ntem
0,Hotel Colline de France,5,Experiência magnífica!,"Alguns lugares por vezes são super estimados, o que não é definitivamente não é o caso aqui. Já esperava que a experiência no Colline de France seria ótima, mas fui ainda surpreendido! O conjunto da obra faz com que a hospedagem seja algo totalmente diferente ao que se encontra em hotéis de luxo. Os detalhes de decoração de cada ambiente, música com pianista e violinista numa espécie de brunch com espumante e doces finos à vontade, atendimento cordial de toda a equipe (a grande diferença está realmente aqui), o restaurante do hotel, o café da manhã…poderia escrever muito mais só de coisas positivas, mas vou focar no mais importante: a personalidade e alma do hotel. Não vemos no Colline de France atendimento pasteurizado/robotizado, mas sim uma equipe que mostra que está muito</span><span class=""_""> feliz em estar ali e em fazer os hóspedes se sentirem muito à vontade. O mesmo vale para a decoração, pensada nos mínimos detalhes e com muita personalidade, ocorrendo isso em todos ambientes, das suítes até o jardim externo. Aqui deixo os meus sinceros parabéns pela magnífica experiência que tive e espero poder ter novamente em breve.",3 de jul.,jul.
0,Hotel Colline de France,5,Celebração 43 anos de casamento,"Tudo foi perfeito,  a alegria da equipe e disposição em procurar sempre agradar foi o maior ponto...  A limpeza e os cuidados no detalhe,  em todas as áreas...  Pela manhã música ao vivo e ao cair da tarde 17 h saxs e espumante mais doces...  As fotos e a liberdade que proporcionaram um agradável momento de não querer sair...",3 de jul.,jul.
0,Hotel Colline de France,5,Simplesmente magnífico,"Ainda sem palavras com minha estada. O hotel é encantador, todos os funcionários são muito simpáticos, receptivos e cordiais. Café da manhã é excepcional, nunca vi nada igual. Muito bom ter um hotel desse nível aqui no Brasil. Fui para comemorar minha bodas de dez anos, foi a melhor coisa que fizemos. Roupas de cama de altíssima qualidade, roupão, toalhas, tudo magnífico. Fomos recebidos com um mimo com alguns finger foods e docinhos. Sempre estão servindo um bom espumante na recepção, e aliás que recepção maravilhosa!!! Permitam-se ter uma experiência dessa. Nas fotos vocês podem ver o que eu estou querendo dizer sobre o café...",1 de jul.,jul.
0,Hotel Colline de France,5,Comemoração de bodas,"No mínimo 10 com louvor a toda equipe. Estrutura de serviços e acomodações impecáveis. Gentileza, atenção e simpatia são marcas da equipe e Hotel. Requinte, sofisticação aliado ao bom gosto da recordação.",1 de jul.,jul.
0,Hotel Colline de France,5,Coline de France experiência única!,"Me senti num castelo com personagens contemporâneos! Logo na chegada você percebe que está num lugar diferenciado. Equipe preparada para atender de forma única, recebendo com delicadeza, atenção e entusiasmo, valorizando o hóspede e tudo o que ali está sendo feito para proporcionar momentos inesquecíveis! Final de tarde os hóspedes são recebidos ao som de um piano que fica ao lado da receptação, ambiente lindo, sofisticado e como se não bastasse, servem champanhe e doces delicados, ao lado de uma lareira, num espaço aconchegante e sofisticado. Tudo parece ter sido pensado com detalhes que transmitem aos hóspedes um efeito “nós fizemos a diferença por você ”. Chá, água saborizada  e champanhe a vontade! Na saída uma mensagem, água e madelaines para lhe acompanhar na viagem!",jun. de 2022,2022
0,Hotel Colline de France,5,Experiência Diferenciada no Atendimento,"Serviço extraordinário! Preocupação total com o hóspede nos pequenos detalhes.  Café da manhã estilo francês sensacional ! Atendimento personalizado para que o hóspede tenha uma experiência diferenciada ! Local pequeno, agradável e acolhedor!",jun. de 2022,2022
0,Hotel Colline de France,5,Sonho,"Foi um sonho realizado, eu me senti uma princesa, o atendimento espetacular. Estou apaixonada e encantada, eu nunca imaginei algo tão especial 🇫🇷🌷❤️ O café da manhã é lindo e delicioso, limpeza impecável e uma coisa muito legal é o cheiro do hotel, é um cheiro divino. Com certeza voltarei ❤️",jun. de 2022,2022
0,Hotel Colline de France,5,"O HOTEL É PERFEITOOO, O ATENDIMENTO É SURREAL.","sem comentários para a perfeição que é o Colline,,, tudo perfeito, acomodacoes, café da manhã, atendimento ao cliente... tudo muito perfeito e agradavel... com toda certeza indicarei esse hotel, para que mais pessoas possam conhecer.",jun. de 2022,2022
